INDICATOR:,UNIT:,"Status of indicator (existing, proposed).",Availability of data: Indicator/Signal/Potential,Qualitative indicator,Boolean indicator (yes/No),Quantitative indicator,Temporal,Geographic,Recent year,EU,National,Regional/Cities,Products /  Companies,Description of the indicator/signal/potential,Methodological considerations,Required methodology,Headline,Societal Goals,Environmental,Economic,Social,Circularity,Agriculture,Forestry,Acquaculture,Secondary production systems,Waste and Circularity,Ecosystem conditions,Trade,Primary sectors,Stock,Processing/Manufacturing services,Users,Disposal/Cascading/Recycling/Reusing,Whole chain,SDG 1: No poverty,SDG 2: Zero hunger,SDG 3: Good health and well being,SDG 4: Quality education,SDG 5: Gender equality,SDG 6: Clean water and sanitation,SDG 7: Affordable and clean energy,SDG 8: Decent work and economic growth,"SDG 9: Industry, innovation and infrastructure",SDG 10: Reduced inequalities,SDG 11: Sustainable cities and communities,SDG 12: Responsible consumption and production,SDG 13: Climate action,SDG 14: Life below water,SDG 15: Life on land,"SDG 16: Peace, justice, and strong institutions",SDG 17: Partnerships for the goals,Source,Link to reference,Link to data
Food quality/safety,NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Animal welfare,NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
EU's self-sufficiency rate on protein for feed,NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Import dependency ratio of food (import/domestic production),NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Value of food imports over total mechandise exports,NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Economic impacts of trade in exporting countries of food (to EU),NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Environmental footprints in exportings countries of food (to EU),NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Social condition in exporting countries of food to EU,NA,Proposed,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of organic farming in utilised agricultural area,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Forest growing stock,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Surface of marine and terrestrial sites designated under NATURA 2000,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Roundwood removals,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
"Biomass production in EU from primary production systems (agriculture, forests, fisheries)",NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
"Intensification of farming (share of high, medium, and low inputs farms in UAA)",NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Fishing mortality of commercially exploited fish and shellfish exceeding fishing mortality at maximum sustainable yield,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Ratio of annual fellings (m3/ha/year) to net annual increment,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Bird and butterfly indices EU aggregate,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Livestock density index,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Fish stock biomass in NE Atlantic & Mediterranean,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Nitrate in groundwater,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Phosphate in rivers,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biochemical oxygen demand in rivers,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Domestic Material Consumption (Biomass),NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Material Footprint (Biomass),NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Energy productivity,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of renewable energy in gross final energy consumption,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Circular material rate,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Recycling rate of municipal waste,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biowaste generated by source,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Social condition in exporting countries to EU,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Economic impacts of trade in exporting countries (to EU),NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
"Share of renowables for transport, electricity and heating & cooling",NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of woodly biomass used for energy,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Total biomass consumed for materials,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Total biomass consumed for energy,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Food waste by food category - mass balance approach,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Food waste along supply chain - mass balance approach,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
