"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Food quality/safety",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Animal welfare",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"EU's self-sufficiency rate on protein for feed",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Import dependency ratio of food (import/domestic production)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Value of food imports over total mechandise exports",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Economic impacts of trade in exporting countries of food (to EU)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Environmental footprints in exportings countries of food (to EU)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Social condition in exporting countries of food to EU",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share of organic farming in utilised agricultural area","% of total utilised agricultural area (UAA )","Existing",NA,NA,NA,"x","2012-2020","EU",2020,"x","x",NA,NA,"the indicator measures the share of total utilised agricultural area (UAA) occupied by organic farming. It considered existing organically-farmed areas and areas in process of conversion",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Forest growing stock","1000m3","Existing",NA,NA,NA,"x","2000-2020","EU",2020,"x","x",NA,NA,NA,NA,"The data is from Eurostat´s European Forest Accounts, considering Volume over bark of all living trees with a minimum diameter of 10 cm at breast height (or above buttress if these are higher). Includes the stem from ground level up to a top diameter of 0 cm, excluding branches",NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Surface of marine and terrestrial sites designated under NATURA 2000","% or km2 of land area","Existing",NA,NA,NA,"x","2011-2020","EU",2020,"x","x",NA,NA,"The indicator measures the surface of terrestrial sites designated under Natura 2000",NA,"To collect this data, each country is requiered to fill in a standard data from where sited designated under the directives, including the size of the site in km2, the existing habitats and species an their percentage cover of the site",NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Roundwood removals","m3 o.b., m3 u.b.","Existing",NA,NA,NA,"x","2000-2021","EU",2021,"x","x",NA,NA,"It refers to total removals over bark and under bark",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Biomass production in EU from primary production systems (agriculture, forests, fisheries)","tonnes dry matter","Existing",NA,NA,NA,"x","2009-2017","EU",2017,"x","x",NA,NA,"The indicator considers the production from EU production systems",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x","x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Intensification of farming (share of high, medium, and low inputs farms in UAA)","%","Existing",NA,NA,NA,"x","2005-2019","EU",2019,"x","x",NA,NA,"Percentage of utilised agricultural area (UAA) managed by low-, medium- and high-input farms and the number of hectars of UAA per category of farms",NA,"The inputs considered here are purchased fertilisers and soil improvers, pesticides (plant protection products), other means for protection such as traps and baits, bird scarers, anti-hail shells, frost protection and purchased feed.",NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Fishing mortality of commercially exploited fish and shellfish exceeding fishing mortality at maximum sustainable yield","INDEX (2003=1)","Existing",NA,NA,NA,"x","2003-2021","EU",2021,"x","x",NA,NA,"The indicator shows the model-based trend over time of fish stock biomass relative to 2003 in the EU waters of the North-East Atlantic and adjacent seas (FAO area 27) and the Mediterranean and Black sea",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Ratio of annual fellings (m3/ha/year) to net annual increment","ratio","Existing",NA,NA,NA,"x","2000-2015","EU",2015,"x","x",NA,NA,"Total fellings as a fraction of the net annual increment based on JRC's own estimates",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Bird and butterfly indices EU aggregate","index, (2000 = 100)","Existing",NA,NA,NA,"x","2000-2021","EU",2021,"x","x",NA,NA,"The indicator is a multispecies index that measures the average trend in relative abundance of a selection of common bird species associated with specific habitat.","Rare species are excluded",NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Livestock density index","unit per ha","Existing",NA,NA,NA,"x","2005-2016","EU",2016,"x","x",NA,NA,"Livestock density refers to the number of livestock units per hectare of utilised agricultural area",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Fish stock biomass in NE Atlantic & Mediterranean","index (2003=1)","Existing",NA,NA,NA,"x","2003-2021","EU",2021,"x","x",NA,NA,"The indicator shows the model-based trend over time of fish stock biomass relative to 2003 in the EU and specific non-EU waters",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Nitrate in groundwater","mg NO3/l","Existing",NA,NA,NA,"x","2000-2018","EU",2018,"x","x",NA,NA,"The indicator refers to concentrations of nitrate in groundwater",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Phosphate in rivers","mg PO4/l","Existing",NA,NA,NA,"x","2000-2019","EU",2018,"x","x",NA,NA,"The indicator refers to concentrations of phosphare in the disolved phase of water samples",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Biochemical oxygen demand in rivers","mg O2/l","Existing","indicator",NA,NA,"x","2000-2018","EU",2018,"x","x",NA,NA,"The indicator represents the amount of oxygen needed by microorganisms to break down organic substances within a specified volume of water, is used to measure water quality.",NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x","x",NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Exposure of forest area to ozone",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Exceedance of air quality standards in urban areas",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Percentage area of urban green space (or percentage of natural area ithin the city boundaries",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,"x",NA,"x","x","x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Landscape fragmentation Index",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share of High Nature Value farmland in agricoltural area",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,"x",NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Forest fragmentation and connectivity index",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Deadwood",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share of forest area",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Age and size distribution of commercially-exploited fish species",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x","x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Conservation Status of European Habits",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,"x",NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
