INDICATOR:;UNIT:;Status of indicator (existing, proposed).;Availability of data: Indicator/Signal/Potential;Qualitative indicator;Boolean indicator (yes/No);Quantitative indicator;Temporal;Geographic;Recent year;EU;National;Regional/Cities;Products /  Companies;Methodological considerations;Required methodology;Headline;Societal Goals;Environmental;Economic;Social;Circularity;Agriculture;Forestry;Acquaculture;Secondary production systems;Waste and Circularity;Ecosystem conditions;Trade;Primary sectors;Stock;Processing/Manufacturing services;Users;Disposal/Cascading/Recycling/Reusing;Whole chain;SDG 1: No poverty;SDG 2: Zero hunger;SDG 3: Good health and well being;SDG 4: Quality education;SDG 5: Gender equality;SDG 6: Clean water and sanitation;SDG 7: Affordable and clean energy;SDG 8: Decent work and economic growth;SDG 9: Industry, innovation and infrastructure;SDG 10: Reduced inequalities;SDG 11: Sustainable cities and communities;SDG 12: Responsible consumption and production;SDG 13: Climate action;SDG 14: Life below water;SDG 15: Life on land;SDG 16: Peace, justice, and strong institutions;SDG 17: Partnerships for the goals;Source;Link to reference;Link to data
Food quality/safety;;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Animal welfare;;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
EUs self-sufficiency rate on protein for feed;;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Import dependency ratio of food (import/domestic production);;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Value of food imports over total mechandise exports;;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Economic impacts of trade in exporting countries of food (to EU);;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Environmental footprints in exportings countries of food (to EU);;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Social condition in exporting countries of food to EU;;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of organic farming in utilised agricultural area;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Forest growing stock;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Surface of marine and terrestrial sites designated under NATURA 2000;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Roundwood removals;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biomass production in EU from primary production systems (agriculture, forests, fisheries);;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Intensification of farming (share of high, medium, and low inputs farms in UAA);;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Fishing mortality of commercially exploited fish and shellfish exceeding fishing mortality at maximum sustainable yield;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Ratio of annual fellings (m3/ha/year) to net annual increment;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Bird and butterfly indices EU aggregate;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Livestock density index;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Fish stock biomass in NE Atlantic & Mediterranean;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Nitrate in groundwater;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Phosphate in rivers;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biochemical oxygen demand in rivers;;Existing;;;;x;;;;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Domestic Material Consumption (Biomass);;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Material Footprint (Biomass);;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Energy productivity;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of renewable energy in gross final energy consumption;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Circular material rate;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Recycling rate of municipal waste;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biowaste generated by source;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Social condition in exporting countries to EU;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Economic impacts of trade in exporting countries (to EU);;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of renowables for transport, electricity and heating & cooling;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share of woodly biomass used for energy;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Total biomass consumed for materials;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Total biomass consumed for energy;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Food waste by food category - mass balance approach;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Food waste along supply chain - mass balance approach;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biowaste recovered by source;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Cascade use of wood resources;;Existing;;;;x;;;;x;x;;;;;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Water explotation idex (WEI);;Existing;;;;x;;;;x;x;;;;;;SO4 Mitigating and adapting to climate change;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Crop yield (3 main crops);;Existing;;;;x;;;;x;x;;;;;;SO4 Mitigating and adapting to climate change;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
net GHG emissions (emissions and removals) from LULUCF;;Existing;;;;x;;;;x;x;;;;;;SO4 Mitigating and adapting to climate change;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
net GHG emissions (emissions and removals) from agriculture;;Existing;;;;x;;;;x;x;;;;;;SO4 Mitigating and adapting to climate change;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Value Added per sector / Bioeconomy value added;;Existing;;;;x;;;;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Gross value added per person employed in bioeconomy;;Existing;;;;x;;;;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Turnover in bioeconomy per sector;;Existing;;;;x;;;;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Value-added per sector;;Existing;;;;x;;;;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Persons employed per bioeconomy sectors;;Existing;;;;x;;;;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share biomass used by primary sector;;Existing;;;;x;;;;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Percentage food expenditure to total household expenditures;% of total spending;Existing;Indicator;;;x;;;;;;;;This indicator is commonly calculated with data from Household Consumption and Expenditure Surveys (HCES) that include the monetary value of household consumption disaggregated into food and non-food items. ;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;x;;;x;x;x;;;;;;;;;;;;;;;Food and Agriculture Organization;https://inddex.nutrition.tufts.edu/data4diets/indicator/household-food-expenditure-share?back=/data4diets/indicators;
Indicator of (food) price anomalies (IFPA);%;Existing;Indicator;;;x;2011-2021;World;2021;x;;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;x;x;x;;x;;;;x;;;;;;;;;;;;;;;;Food and Agriculture Organization;https://www.fao.org/sustainable-development-goals-data-portal/data/indicators/2c1---indicator-of-(food)-price-anomalies/en;
Food nutrition values ;kcal/pc/d;Existing;Indicator;;;x;;World;2022;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;x;;;x;x;x;;;;;;;;;;;;;;;Food and Agriculture Organization;https://www.fao.org/faostat/en/#data/FS;https://www.fao.org/faostat/en/#data/FS
Extent of forest and other wooded land;1000 ha;Existing;Indicator;;;x;1985-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Naturally regenerating forest;1000 ha;Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Planted Forest;1000 ha;Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest expansion;Area (1000 ha/year);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Deforestation;Area (1000 ha/year);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest area net-change;Area (1000 ha/year);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Reforestation;Area (1000 ha/year);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Other land with tree cover;Area (1000 ha);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest growing stock;Growing stock m³/ha (over bark);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest growing stock composition;Growing stock in forest (million m³ over bark);Existing;Indicator;;;x;1990-2010;;2010;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
